City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
soyo,100,AO,1552785050,87,-6.13,12.37,300.563,1.36
codrington,40,AU,1552784891,78,-28.95,153.24,297.15,1.36
shenjiamen,8,CN,1552785054,86,29.96,122.3,285.188,3.86
boguchany,68,RU,1552785056,90,58.38,97.46,272.638,3.01
madurai,20,IN,1552782600,83,9.93,78.11,297.15,0.36
leningradskiy,56,RU,1552785055,85,69.38,178.42,252.063,9.26
santa barbara,1,US,1552784815,20,34.42,-119.7,296.48,3.6
havoysund,90,NO,1552782000,86,71.0,24.66,271.15,11.3
ixtapa,90,MX,1552785017,83,20.71,-105.21,297.15,3.1
tabou,48,CI,1552785069,99,4.42,-7.36,301.463,2.61
madaras,0,RS,1552779900,70,46.06,19.26,281.15,3.1
matagami,12,NG,1552785073,55,9.67,8.4,291.288,1.41
virginia beach,1,US,1552784905,65,36.85,-75.98,282.59,2.71
kalispell,1,US,1552784763,48,48.2,-114.32,279.82,1.5
ayan,92,TR,1552785079,90,40.67,33.6,272.488,2.31
kazanskaya,76,RU,1552784417,10,45.41,40.44,280.93,2.96
asosa,0,ET,1552785084,28,10.07,34.53,290.788,2.31
fernie,75,CA,1552783636,48,49.5,-115.06,280.15,4.6
vikhorevka,80,RU,1552784592,64,56.12,101.17,274.15,3.0
bolshoy kamen,0,RU,1552782600,43,43.12,132.36,275.15,1.21
neiafu,75,TO,1552780800,74,-18.65,-173.98,303.15,3.1
cooma,75,AU,1552780800,67,-36.24,149.13,290.15,3.1
dobsice,90,CZ,1552785074,100,48.85,16.08,279.26,2.6
gravelbourg,48,CA,1552785098,72,49.88,-106.56,276.638,3.36
dudinka,24,RU,1552785099,47,69.41,86.18,246.413,1.41
homestead,90,US,1552784906,69,25.47,-80.48,299.15,2.56
semnan,0,IR,1552785105,63,35.58,53.39,276.188,1.31
trairi,48,BR,1552784956,100,-3.28,-39.27,300.488,4.06
oneida,90,US,1552785096,48,41.07,-90.23,279.15,3.1
khartoum,0,SD,1552782600,11,15.59,32.54,295.15,6.7
boende,36,CD,1552785113,98,-0.28,20.88,295.813,0.96
northam,20,GB,1552785071,75,51.04,-4.21,280.15,8.2
katsuura,75,JP,1552783871,75,33.93,134.5,283.15,2.6
alta floresta,8,BR,1552785120,93,-9.87,-56.08,298.638,0.91
namatanai,68,PG,1552785122,100,-3.66,152.44,301.188,3.81
piedras negras,90,MX,1552780680,44,28.7,-100.52,288.15,3.1
jiuquan,56,CN,1552785126,68,39.73,98.49,268.838,2.41
manokwari,20,ID,1552785061,93,-0.87,134.08,301.213,0.61
dzhebariki-khaya,24,RU,1552785130,64,62.22,135.8,255.063,0.51
novobirilyussy,56,RU,1552785132,84,56.95,90.69,266.063,3.41
beringovskiy,48,RU,1552785134,98,63.05,179.32,257.313,7.36
padang,20,ID,1552780800,94,-0.92,100.36,298.15,1.5
galesong,20,ID,1552782600,94,-5.32,119.37,300.15,1.5
dongsheng,92,CN,1552785141,87,29.72,112.52,283.663,1.51
anadyr,90,RU,1552784592,83,64.73,177.51,251.48,5.0
port-cartier,90,CA,1552784901,85,50.03,-66.88,269.15,7.2
peniche,20,PT,1552785059,87,39.36,-9.38,285.15,2.6
coolum beach,92,AU,1552785045,68,-26.53,153.09,302.04,1.61
hambantota,90,LK,1552781400,100,6.12,81.12,297.15,1.5
half moon bay,1,US,1552784865,82,37.46,-122.43,296.15,6.2
passau,0,AT,1552785154,100,48.57,13.46,279.26,0.5
punta cardon,0,VE,1552785160,67,11.61,-70.22,300.438,10.76
